volume,open,high,low,close,caldt
204630712,445.56,448.06,437.95,437.98,2022-01-21 00:00:00-05:00
254361526,432.03,440.38,420.76,439.84,2022-01-24 00:00:00-05:00
170145104,433.06,439.72,427.15,434.47,2022-01-25 00:00:00-05:00
188214247,440.72,444.04,428.86,433.38,2022-01-26 00:00:00-05:00
151882702,438.26,441.59,429.45,431.24,2022-01-27 00:00:00-05:00
166791322,432.68,442.0,427.82,441.95,2022-01-28 00:00:00-05:00
155582114,441.24,450.28,439.81,449.91,2022-01-31 00:00:00-05:00
125134995,450.68,453.63,446.9384,452.95,2022-02-01 00:00:00-05:00
119044971,455.5,458.12,453.05,457.35,2022-02-02 00:00:00-05:00
120198289,450.95,452.97,445.71,446.6,2022-02-03 00:00:00-05:00
120819408,446.35,452.78,443.83,448.7,2022-02-04 00:00:00-05:00
86449092,449.51,450.99,445.85,447.26,2022-02-07 00:00:00-05:00
83185793,446.73,451.92,445.22,450.94,2022-02-08 00:00:00-05:00
95013879,455.22,457.88,455.005,457.54,2022-02-09 00:00:00-05:00
142919007,451.34,457.71,447.2,449.32,2022-02-10 00:00:00-05:00
156004637,449.41,451.605,438.94,440.46,2022-02-11 00:00:00-05:00
125379755,439.92,441.6,435.34,439.02,2022-02-14 00:00:00-05:00
91232544,443.73,446.28,443.18,446.1,2022-02-15 00:00:00-05:00
84978171,443.93,448.055,441.94,446.6,2022-02-16 00:00:00-05:00
102416116,443.22,446.5652,436.42,437.06,2022-02-17 00:00:00-05:00
132619100,437.33,438.66,431.82,434.23,2022-02-18 00:00:00-05:00
126971668,431.89,435.5,425.86,429.57,2022-02-22 00:00:00-05:00
132864067,432.66,433.26,421.35,422.07,2022-02-23 00:00:00-05:00
220033458,411.02,428.76,410.64,427.99,2022-02-24 00:00:00-05:00
123640399,429.61,437.84,427.86,437.75,2022-02-25 00:00:00-05:00
149221337,432.03,438.2,430.7,436.63,2022-02-28 00:00:00-05:00
139991559,435.04,437.17,427.11,429.98,2022-03-01 00:00:00-05:00
120234911,432.37,439.72,431.57,437.89,2022-03-02 00:00:00-05:00
105501865,440.47,441.11,433.8,435.71,2022-03-03 00:00:00-05:00
113974262,431.75,433.37,427.88,432.17,2022-03-04 00:00:00-05:00
138047941,431.55,432.3018,419.36,419.43,2022-03-07 00:00:00-05:00
167638902,419.62,427.21,415.12,416.25,2022-03-08 00:00:00-05:00
117271076,425.14,429.51,422.82,427.41,2022-03-09 00:00:00-05:00
95329689,422.52,426.43,420.44,425.48,2022-03-10 00:00:00-05:00
95687775,428.12,428.77,419.53,420.07,2022-03-11 00:00:00-05:00
95874528,420.89,424.55,415.79,417.0,2022-03-14 00:00:00-04:00
108235310,419.77,426.84,418.42,426.17,2022-03-15 00:00:00-04:00
144954949,429.89,435.68,424.8,435.62,2022-03-16 00:00:00-04:00
104062578,433.59,441.07,433.19,441.07,2022-03-17 00:00:00-04:00
106542902,438.0,444.86,437.22,444.52,2022-03-18 00:00:00-04:00
88839174,444.34,446.46,440.68,444.39,2022-03-21 00:00:00-04:00
76931148,445.86,450.58,445.86,449.59,2022-03-22 00:00:00-04:00
81316132,446.91,448.49,443.71,443.8,2022-03-23 00:00:00-04:00
64917269,445.94,450.5,444.76,450.49,2022-03-24 00:00:00-04:00
77990305,451.16,452.98,448.43,452.69,2022-03-25 00:00:00-04:00
71058111,452.06,455.91,450.06,455.84,2022-03-28 00:00:00-04:00
91635758,460.02,462.07,457.18,461.53,2022-03-29 00:00:00-04:00
82462768,460.34,461.195,456.465,458.79,2022-03-30 00:00:00-04:00
121830006,457.89,458.76,451.16,451.64,2022-03-31 00:00:00-04:00
90526299,453.31,453.46,449.14,452.92,2022-04-01 00:00:00-04:00
61390954,453.13,456.91,452.26,456.8,2022-04-04 00:00:00-04:00
75760010,455.22,457.83,449.82,451.03,2022-04-05 00:00:00-04:00
107084639,446.89,448.93,443.47,446.52,2022-04-06 00:00:00-04:00
78235837,445.59,450.69,443.53,448.77,2022-04-07 00:00:00-04:00
79354344,447.97,450.63,445.94,447.57,2022-04-08 00:00:00-04:00
92393812,444.11,445.0,439.39,439.92,2022-04-11 00:00:00-04:00
85677975,443.08,445.75,436.6501,438.29,2022-04-12 00:00:00-04:00
75731466,438.03,444.11,437.84,443.31,2022-04-13 00:00:00-04:00
100061421,443.55,444.7301,437.68,437.79,2022-04-14 00:00:00-04:00
67080101,436.81,439.75,435.61,437.97,2022-04-18 00:00:00-04:00
79209141,437.86,445.8,437.68,445.04,2022-04-19 00:00:00-04:00
66224261,446.92,447.57,443.48,444.71,2022-04-20 00:00:00-04:00
86898329,448.54,450.01,437.1,438.06,2022-04-21 00:00:00-04:00
134318097,436.91,438.0825,425.44,426.04,2022-04-22 00:00:00-04:00
121150668,423.67,428.69,418.84,428.51,2022-04-25 00:00:00-04:00
104173893,425.83,426.04,416.07,416.1,2022-04-26 00:00:00-04:00
122342063,417.24,422.92,415.01,417.27,2022-04-27 00:00:00-04:00
107789356,422.29,429.64,417.6,427.81,2022-04-28 00:00:00-04:00
148702518,423.59,425.87,411.21,412.0,2022-04-29 00:00:00-04:00
160312749,412.07,415.92,405.02,414.48,2022-05-02 00:00:00-04:00
102021088,415.01,418.93,413.36,416.38,2022-05-03 00:00:00-04:00
146219632,417.08,429.66,413.7099,429.06,2022-05-04 00:00:00-04:00
175971084,424.55,425.0,409.44,413.81,2022-05-05 00:00:00-04:00
153284691,411.1,414.8,405.73,411.34,2022-05-06 00:00:00-04:00
155879661,405.1,406.41,396.5,398.17,2022-05-09 00:00:00-04:00
135027626,404.49,406.08,394.82,399.09,2022-05-10 00:00:00-04:00
144045270,398.07,404.04,391.96,392.75,2022-05-11 00:00:00-04:00
126713465,389.37,395.8,385.15,392.34,2022-05-12 00:00:00-04:00
104349084,396.71,403.18,395.61,401.72,2022-05-13 00:00:00-04:00
80100945,399.98,403.97,397.6,400.09,2022-05-16 00:00:00-04:00
83226741,406.53,408.57,402.5824,408.32,2022-05-17 00:00:00-04:00
